year.id,year.display-label,hisp.id,hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop_sex0_age999,totpop_sex0_age0to4,totpop_sex0_age5to9,totpop_sex0_age10to14,totpop_sex0_age15to19,totpop_sex0_age20to24,totpop_sex0_age25to29,totpop_sex0_age30to34,totpop_sex0_age35to39,totpop_sex0_age40to44,totpop_sex0_age45to49,totpop_sex0_age50to54,totpop_sex0_age55to59,totpop_sex0_age60to64,totpop_sex0_age65to69,totpop_sex0_age70to74,totpop_sex0_age75to79,totpop_sex0_age80to84,totpop_sex0_age85plus,totpop_sex0_medage
Id,Year,Id,Hispanic Origin,Id,Id2,Geography,Total; Both Sexes; Total,Total; Both Sexes; Under 5 years,Total; Both Sexes; 5 to 9 years,Total; Both Sexes; 10 to 14 years,Total; Both Sexes; 15 to 19 years,Total; Both Sexes; 20 to 24 years,Total; Both Sexes; 25 to 29 years,Total; Both Sexes; 30 to 34 years,Total; Both Sexes; 35 to 39 years,Total; Both Sexes; 40 to 44 years,Total; Both Sexes; 45 to 49 years,Total; Both Sexes; 50 to 54 years,Total; Both Sexes; 55 to 59 years,Total; Both Sexes; 60 to 64 years,Total; Both Sexes; 65 to 69 years,Total; Both Sexes; 70 to 74 years,Total; Both Sexes; 75 to 79 years,Total; Both Sexes; 80 to 84 years,Total; Both Sexes; 85 years and over,Total; Both Sexes; Median age (years)
est72016,"July 1, 2016",totpop,Total,0400000US29,29,Missouri,6091176,374616,384198,388608,395395,422417,412337,399677,380571,349395,375340,413690,433066,381497,328333,233430,169377,120801,128428,38.4
est72017,"July 1, 2017",hisp,Hispanic,0400000US29,29,Missouri,259154,26417,27086,26354,23745,22682,20919,20405,19957,16461,13982,11273,9372,7000,5002,3166,2097,1547,1689,25.7
est72017,"July 1, 2017",nhisp,Not Hispanic,0400000US29,29,Missouri,5854378,348062,354013,364318,369511,391735,401206,378333,368181,330975,360202,386427,423037,384846,322893,248271,174095,119962,128311,39.3
est72017,"July 1, 2017",totpop,Total,0400000US29,29,Missouri,6113532,374479,381099,390672,393256,414417,422125,398738,388138,347436,374184,397700,432409,391846,327895,251437,176192,121509,130000,38.6
cen42010,"April 1, 2010 Census",hisp,Hispanic,0400000US30,30,Montana,28565,3428,3076,2864,2925,2721,2213,1884,1690,1507,1550,1364,1114,813,495,369,251,156,145,23.6
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0400000US30,30,Montana,960850,58995,57689,58260,63799,64417,61910,56857,53885,55863,69471,77447,74801,62130,46061,33817,25386,20186,19876,40.4
cen42010,"April 1, 2010 Census",totpop,Total,0400000US30,30,Montana,989415,62423,60765,61124,66724,67138,64123,58741,55575,57370,71021,78811,75915,62943,46556,34186,25637,20342,20021,39.8
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0400000US30,30,Montana,28565,3428,3076,2864,2925,2721,2213,1884,1690,1507,1550,1364,1114,813,495,369,251,156,145,23.6
est42010,"April 1, 2010 Estimates Base",nhisp,Not Hispanic,0400000US30,30,Montana,960849,58995,57689,58260,63798,64416,61910,56857,53885,55863,69470,77448,74801,62131,46061,33817,25386,20186,19876,40.4
est42010,"April 1, 2010 Estimates Base",totpop,Total,0400000US30,30,Montana,989414,62423,60765,61124,66723,67137,64123,58741,55575,57370,71020,78812,75915,62944,46556,34186,25637,20342,20021,39.8
est72010,"July 1, 2010",hisp,Hispanic,0400000US30,30,Montana,28852,3475,3086,2872,2963,2778,2256,1909,1705,1509,1542,1374,1119,826,507,364,258,162,147,23.5
est72010,"July 1, 2010",nhisp,Not Hispanic,0400000US30,30,Montana,961655,58929,57702,58235,63680,64616,61886,57228,53645,55845,68682,77180,75095,62920,46305,34107,25417,20216,19967,40.4
est72010,"July 1, 2010",totpop,Total,0400000US30,30,Montana,990507,62404,60788,61107,66643,67394,64142,59137,55350,57354,70224,78554,76214,63746,46812,34471,25675,20378,20114,39.9
est72011,"July 1, 2011",hisp,Hispanic,0400000US30,30,Montana,30363,3734,3162,2971,3092,2951,2467,2049,1766,1539,1576,1430,1181,912,562,349,284,173,165,23.6
est72011,"July 1, 2011",nhisp,Not Hispanic,0400000US30,30,Montana,966503,58300,58163,58384,62967,66098,61412,59031,52760,56265,65011,76287,75927,66933,47271,35397,25739,20270,20288,40.5
est72011,"July 1, 2011",totpop,Total,0400000US30,30,Montana,996866,62034,61325,61355,66059,69049,63879,61080,54526,57804,66587,77717,77108,67845,47833,35746,26023,20443,20453,39.9
est72012,"July 1, 2012",hisp,Hispanic,0400000US30,30,Montana,32017,3989,3279,3047,3210,3233,2594,2181,1904,1665,1593,1465,1247,941,631,373,300,187,178,23.7
est72012,"July 1, 2012",nhisp,Not Hispanic,0400000US30,30,Montana,971505,57413,58964,58301,61537,68122,60571,60564,53448,56141,61764,74635,76528,67845,51481,36761,26445,20224,20761,40.6
est72012,"July 1, 2012",totpop,Total,0400000US30,30,Montana,1003522,61402,62243,61348,64747,71355,63165,62745,55352,57806,63357,76100,77775,68786,52112,37134,26745,20411,20939,39.9
est72013,"July 1, 2013",hisp,Hispanic,0400000US30,30,Montana,33621,4241,3416,3106,3271,3438,2801,2413,2033,1765,1573,1490,1274,1010,681,414,315,190,190,24.0
est72013,"July 1, 2013",nhisp,Not Hispanic,0400000US30,30,Montana,978300,57133,59811,58435,60709,69489,60414,61936,54915,55832,58903,72784,76613,69861,53952,39048,27335,19949,21181,40.6
est72013,"July 1, 2013",totpop,Total,0400000US30,30,Montana,1011921,61374,63227,61541,63980,72927,63215,64349,56948,57597,60476,74274,77887,70871,54633,39462,27650,20139,21371,39.9
est72014,"July 1, 2014",hisp,Hispanic,0400000US30,30,Montana,35188,4555,3497,3221,3315,3527,2996,2587,2151,1868,1605,1552,1324,1061,757,447,323,201,201,24.2
est72014,"July 1, 2014",nhisp,Not Hispanic,0400000US30,30,Montana,984743,57055,60260,58709,60074,70244,60696,62735,56700,55076,57052,70778,76143,71660,56992,40949,28214,19815,21591,40.6
est72014,"July 1, 2014",totpop,Total,0400000US30,30,Montana,1019931,61610,63757,61930,63389,73771,63692,65322,58851,56944,58657,72330,77467,72721,57749,41396,28537,20016,21792,39.8
est72015,"July 1, 2015",hisp,Hispanic,0400000US30,30,Montana,36724,4754,3601,3318,3339,3619,3307,2798,2313,1898,1653,1579,1370,1114,829,477,315,214,226,24.6
est72015,"July 1, 2015",nhisp,Not Hispanic,0400000US30,30,Montana,991593,57334,60316,59079,59793,70072,61696,62734,58962,54385,56331,68240,75738,72996,60538,42316,29153,19892,22018,40.5
est72015,"July 1, 2015",totpop,Total,0400000US30,30,Montana,1028317,62088,63917,62397,63132,73691,65003,65532,61275,56283,57984,69819,77108,74110,61367,42793,29468,20106,22244,39.7
est72016,"July 1, 2016",hisp,Hispanic,0400000US30,30,Montana,38117,4642,3817,3402,3408,3766,3351,2986,2545,2007,1698,1676,1435,1153,912,531,305,246,237,25.0
est72016,"July 1, 2016",nhisp,Not Hispanic,0400000US30,30,Montana,1000539,58101,60014,59661,59961,69683,63284,62819,61040,53791,57017,64931,75338,74115,64558,43344,30549,20244,22089,40.5
est72016,"July 1, 2016",totpop,Total,0400000US30,30,Montana,1038656,62743,63831,63063,63369,73449,66635,65805,63585,55798,58715,66607,76773,75268,65470,43875,30854,20490,22326,39.7
est72017,"July 1, 2017",hisp,Hispanic,0400000US30,30,Montana,39633,4501,4048,3497,3488,3896,3553,3110,2728,2147,1833,1687,1470,1288,922,601,353,250,261,25.5
est72017,"July 1, 2017",nhisp,Not Hispanic,0400000US30,30,Montana,1010860,58790,59492,60744,59952,68827,65664,62697,63007,54913,57132,62095,74381,75030,65701,47573,31868,20871,22123,40.5
est72017,"July 1, 2017",totpop,Total,0400000US30,30,Montana,1050493,63291,63540,64241,63440,72723,69217,65807,65735,57060,58965,63782,75851,76318,66623,48174,32221,21121,22384,39.8
cen42010,"April 1, 2010 Census",hisp,Hispanic,0400000US31,31,Nebraska,167405,22728,20144,17034,15542,14643,14991,13914,12357,10269,7896,6083,4272,2872,1730,1136,847,536,411,22.8
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0400000US31,31,Nebraska,1658936,109180,108784,105672,113388,114633,114085,102186,98004,100208,120595,124152,113414,92618,67104,53156,45588,37272,38897,38.2
cen42010,"April 1, 2010 Census",totpop,Total,0400000US31,31,Nebraska,1826341,131908,128928,122706,128930,129276,129076,116100,110361,110477,128491,130235,117686,95490,68834,54292,46435,37808,39308,36.2
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0400000US31,31,Nebraska,167399,22727,20142,17033,15542,14643,14991,13914,12355,10269,7896,6083,4272,2872,1730,1136,847,536,411,22.8
est42010,"April 1, 2010 Estimates Base",nhisp,Not Hispanic,0400000US31,31,Nebraska,1658928,109179,108784,105672,113388,114633,114084,102183,98004,100208,120594,124151,113414,92618,67104,53156,45587,37272,38897,38.2
est42010,"April 1, 2010 Estimates Base",totpop,Total,0400000US31,31,Nebraska,1826327,131906,128926,122705,128930,129276,129075,116097,110359,110477,128490,130234,117686,95490,68834,54292,46434,37808,39308,36.2
est72010,"July 1, 2010",hisp,Hispanic,0400000US31,31,Nebraska,169141,23000,20362,17225,15686,14727,14990,14026,12527,10364,8029,6170,4353,2935,1761,1164,854,545,423,22.8
est72010,"July 1, 2010",nhisp,Not Hispanic,0400000US31,31,Nebraska,1660815,108943,108838,105802,113656,114381,114134,103125,97724,100097,119507,124175,114056,93822,67452,53249,45408,37328,39118,38.2
est72010,"July 1, 2010",totpop,Total,0400000US31,31,Nebraska,1829956,131943,129200,123027,129342,129108,129124,117151,110251,110461,127536,130345,118409,96757,69213,54413,46262,37873,39541,36.2
est72011,"July 1, 2011",hisp,Hispanic,0400000US31,31,Nebraska,174738,23147,21104,17975,16145,15140,15032,14345,12948,10782,8623,6489,4704,3193,1897,1252,880,611,471,22.9
est72011,"July 1, 2011",nhisp,Not Hispanic,0400000US31,31,Nebraska,1666903,108263,109312,106349,113461,114408,113556,106714,96233,100206,113988,124570,115803,99831,68692,53694,44940,37249,39634,38.2
est72011,"July 1, 2011",totpop,Total,0400000US31,31,Nebraska,1841641,131410,130416,124324,129606,129548,128588,121059,109181,110988,122611,131059,120507,103024,70589,54946,45820,37860,40105,36.2
est72012,"July 1, 2012",hisp,Hispanic,0400000US31,31,Nebraska,180635,23439,21815,18782,16555,15523,15122,14744,13226,11433,9090,6828,5078,3385,2186,1353,916,654,506,23.0
est72012,"July 1, 2012",nhisp,Not Hispanic,0400000US31,31,Nebraska,1674227,107530,110066,106977,111903,116507,111866,109880,96422,100276,108700,124090,117111,101126,74460,54776,44887,37346,40304,38.2
est72012,"July 1, 2012",totpop,Total,0400000US31,31,Nebraska,1854862,130969,131881,125759,128458,132030,126988,124624,109648,111709,117790,130918,122189,104511,76646,56129,45803,38000,40810,36.2
est72013,"July 1, 2013",hisp,Hispanic,0400000US31,31,Nebraska,186569,23516,22521,19607,17241,16011,15079,15102,13698,11897,9547,7228,5441,3625,2420,1428,973,677,558,23.1
est72013,"July 1, 2013",nhisp,Not Hispanic,0400000US31,31,Nebraska,1680845,106930,110471,107804,110490,118262,110280,112697,98229,99677,103761,122946,118454,103408,77933,57037,45135,36664,40667,38.2
est72013,"July 1, 2013",totpop,Total,0400000US31,31,Nebraska,1867414,130446,132992,127411,127731,134273,125359,127799,111927,111574,113308,130174,123895,107033,80353,58465,46108,37341,41225,36.2
est72014,"July 1, 2014",hisp,Hispanic,0400000US31,31,Nebraska,192050,23885,23053,20228,17760,16504,15205,15387,13794,12352,9859,7695,5780,4022,2647,1492,1059,699,629,23.3
